"Gene_id","Gene_name","Gene_type","Chromosome","Gene_start","Gene_end","Gene_age"
"ENSG00000243485","MIR1302-2HG","lincRNA","1",29554,31109,17
"ENSG00000237613","FAM138A","lincRNA","1",34554,36081,19
"ENSG00000240361","OR4G11P","transcribed_unprocessed_pseudogene","1",57598,64116,18
"ENSG00000186092","OR4F5","protein_coding","1",65419,71585,15
"ENSG00000222623","RNU6-1100P","snRNA","1",157784,157887,15
"ENSG00000284733","OR4F29","protein_coding","1",450703,451697,17
"ENSG00000284662","OR4F16","protein_coding","1",685679,686673,17
"ENSG00000223181","RNU6-1199P","snRNA","1",758233,758336,15
"ENSG00000187634","SAMD11","protein_coding","1",923928,944581,12
"ENSG00000188976","NOC2L","protein_coding","1",944204,959309,1
"ENSG00000187961","KLHL17","protein_coding","1",960587,965715,6
"ENSG00000187583","PLEKHN1","protein_coding","1",966497,975865,12
"ENSG00000187642","PERM1","protein_coding","1",975204,982093,15
"ENSG00000188290","HES4","protein_coding","1",998962,1000172,6
"ENSG00000187608","ISG15","protein_coding","1",1001138,1014541,15
"ENSG00000188157","AGRN","protein_coding","1",1020123,1056118,7
"ENSG00000237330","RNF223","protein_coding","1",1070966,1074307,12
"ENSG00000131591","C1orf159","protein_coding","1",1081818,1116361,12
"ENSG00000207730","MIR200B","miRNA","1",1167104,1167198,11
"ENSG00000207607","MIR200A","miRNA","1",1167863,1167952,11
"ENSG00000198976","MIR429","miRNA","1",1169005,1169087,11
"ENSG00000162571","TTLL10","protein_coding","1",1173884,1197935,1
"ENSG00000186891","TNFRSF18","protein_coding","1",1203508,1206691,12
"ENSG00000186827","TNFRSF4","protein_coding","1",1211326,1214138,14
"ENSG00000078808","SDF4","protein_coding","1",1216908,1232031,6
"ENSG00000176022","B3GALT6","protein_coding","1",1232265,1235041,4
"ENSG00000184163","C1QTNF12","protein_coding","1",1242446,1246722,7
"ENSG00000160087","UBE2J2","protein_coding","1",1253909,1273885,1
"ENSG00000162572","SCNN1D","protein_coding","1",1280436,1292029,7
"ENSG00000131584","ACAP3","protein_coding","1",1292376,1309609,1
"ENSG00000169972","PUSL1","protein_coding","1",1308567,1311677,1
"ENSG00000127054","INTS11","protein_coding","1",1311585,1324691,1
"ENSG00000224051","CPTP","protein_coding","1",1324756,1328897,2
"ENSG00000169962","TAS1R3","protein_coding","1",1331314,1335306,12
"ENSG00000107404","DVL1","protein_coding","1",1335276,1349350,6
"ENSG00000162576","MXRA8","protein_coding","1",1352689,1361777,12
"ENSG00000175756","AURKAIP1","protein_coding","1",1373730,1375495,12
"ENSG00000221978","CCNL2","protein_coding","1",1385711,1399328,2
"ENSG00000242485","MRPL20","protein_coding","1",1401908,1407313,1
"ENSG00000264293","RN7SL657P","misc_RNA","1",1405460,1405752,19
"ENSG00000235098","ANKRD65","protein_coding","1",1418420,1421769,13
"ENSG00000205116","TMEM88B","protein_coding","1",1426128,1427787,17
"ENSG00000179403","VWA1","protein_coding","1",1434861,1442882,12
"ENSG00000215915","ATAD3C","protein_coding","1",1449689,1470158,2
"ENSG00000160072","ATAD3B","protein_coding","1",1471769,1497848,2
"ENSG00000197785","ATAD3A","protein_coding","1",1512151,1534687,2
"ENSG00000205090","TMEM240","protein_coding","1",1535174,1540453,12
"ENSG00000160075","SSU72","protein_coding","1",1541673,1574869,1
"ENSG00000228594","FNDC10","protein_coding","1",1598012,1600096,17
"ENSG00000197530","MIB2","protein_coding","1",1615415,1630610,7
"ENSG00000189409","MMP23B","protein_coding","1",1632095,1635263,13
"ENSG00000248333","CDK11B","protein_coding","1",1635227,1659012,2
"ENSG00000189339","SLC35E2B","protein_coding","1",1659529,1692728,2
"ENSG00000215914","MMP23A","unprocessed_pseudogene","1",1699942,1701782,10
"ENSG00000008128","CDK11A","protein_coding","1",1702730,1724324,3
"ENSG00000008130","NADK","protein_coding","1",1751232,1780457,1
"ENSG00000078369","GNB1","protein_coding","1",1785285,1891117,1
"ENSG00000169885","CALML6","protein_coding","1",1914827,1917296,10
"ENSG00000178821","TMEM52","protein_coding","1",1917590,1919273,13
"ENSG00000142609","CFAP74","protein_coding","1",1921951,2003837,1
"ENSG00000187730","GABRD","protein_coding","1",2019298,2030758,12
"ENSG00000067606","PRKCZ","protein_coding","1",2050470,2185395,12
"ENSG00000162585","FAAP20","protein_coding","1",2184461,2212720,17
"ENSG00000157933","SKI","protein_coding","1",2228695,2310119,6
"ENSG00000116151","MORN1","protein_coding","1",2321253,2391707,1
"ENSG00000157916","RER1","protein_coding","1",2391775,2405444,1
"ENSG00000157911","PEX10","protein_coding","1",2403964,2413797,1
"ENSG00000149527","PLCH2","protein_coding","1",2425980,2505530,1
"ENSG00000157881","PANK4","protein_coding","1",2508533,2526628,1
"ENSG00000197921","HES5","protein_coding","1",2528745,2530245,12
